Модель,Цена,Год выпуска,Пробег,Кузов,Объем,Мощность,Коробка,Тип двигателя,Топливо,Расход,Привод,Разгон,"Максимальная скорость, км/ч",Страна марки,Класс,Цвет,Состояние,Владельцы,ПТС
LADA (ВАЗ) 21099,87000.0,2001.0,223000.0,седан,1.5,70.0,механика,бензин,АИ-92,7.7,передний,14.0,155.0,Россия,B,серебристый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2108,50000.0,2000.0,307000.0,хэтчбек 3 дв.,1.3,64.0,механика,бензин,АИ-92,nan,передний,16.0,148.0,Россия,B,белый,не требует ремонта,3,оригинал
Hyundai ix35 I Рестайлинг,1049000.0,2014.0,78000.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,8.8,полный,11.7,175.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
Land Rover Range Rover Evoque  I 6-speed,1250000.0,2012.0,152000.0,внедорожник 3 дв.,2.2,150.0,автомат,дизель,ДТ,7.0,полный,9.6,182.0,Великобритания,J,красный,не требует ремонта,2,оригинал
Audi Q3 I,1098000.0,2013.0,84000.0,внедорожник 5 дв.,2.0,170.0,робот,бензин,АИ-95,7.7,полный,7.8,212.0,Германия,J,оранжевый,не требует ремонта,3,оригинал
Audi Q7 I,650000.0,2007.0,206000.0,внедорожник 5 дв.,4.2,350.0,автомат,бензин,АИ-98,13.3,полный,7.4,244.0,Германия,J,серый,не требует ремонта,3,дубликат
Mercedes-Benz SL-klasse  V (R230) 350,1199000.0,2003.0,130000.0,родстер,3.7,245.0,автомат,бензин,АИ-95,11.7,задний,7.2,250.0,Германия,S,чёрный,не требует ремонта,3,дубликат
Ford Fiesta Mk6 Рестайлинг,539000.0,2015.0,57000.0,хэтчбек 5 дв.,1.6,105.0,механика,бензин,АИ-95,5.9,передний,11.4,182.0,США,B,белый,не требует ремонта,1,оригинал
SsangYong Actyon II,620000.0,2012.0,109000.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,7.5,полный,11.0,184.0,Южная Корея,J,серебристый,не требует ремонта,2,оригинал
SsangYong Actyon II,638000.0,2011.0,92000.0,внедорожник 5 дв.,2.0,175.0,автомат,дизель,ДТ,7.3,передний,10.8,186.0,Южная Корея,J,серый,не требует ремонта,2,оригинал
SsangYong Actyon II,650000.0,2011.0,85000.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,7.3,передний,11.0,174.0,Южная Корея,J,серебристый,не требует ремонта,2,оригинал
Lifan Breez (520),208000.0,2008.0,160000.0,седан,1.6,106.0,механика,бензин,АИ-92,7.2,передний,10.5,170.0,Китай,C,серебристый,не требует ремонта,1,оригинал
Citroen C4 II,488000.0,2011.0,43000.0,хэтчбек 5 дв.,1.6,120.0,автомат,бензин,АИ-95,6.9,передний,12.5,188.0,Франция,C,серебристый,не требует ремонта,3,дубликат
Mitsubishi Pajero IV,998000.0,2008.0,211000.0,внедорожник 5 дв.,3.8,250.0,автомат,бензин,АИ-95,13.5,полный,10.8,200.0,Япония,J,красный,не требует ремонта,1,оригинал
Volvo XC90 I Рестайлинг,1390000.0,2013.0,103000.0,внедорожник 5 дв.,2.5,210.0,автомат,бензин,АИ-95,11.4,полный,9.9,210.0,Швеция,J,зелёный,не требует ремонта,1,оригинал
Volkswagen Touareg II Рестайлинг,1950000.0,2015.0,93000.0,внедорожник 5 дв.,3.6,249.0,автомат,бензин,АИ-95,10.9,полный,8.4,220.0,Германия,J,серебристый,не требует ремонта,2,оригинал
Volkswagen Tiguan I,670000.0,2009.0,160000.0,внедорожник 5 дв.,2.0,170.0,автомат,бензин,АИ-95,9.9,полный,9.9,197.0,Германия,J,белый,не требует ремонта,2,оригинал
Volkswagen Tiguan I Рестайлинг,770000.0,2011.0,130000.0,внедорожник 5 дв.,2.0,170.0,автомат,бензин,АИ-95,9.9,полный,9.9,197.0,Германия,J,белый,не требует ремонта,3,дубликат
